岗位名称,岗位详情地址,薪资,公司名称,工作地点,经验要求,学历要求,岗位描述,公司融资情况,公司人数,公司行业,福利待遇
数据挖掘,https://www.zhipin.com/job_detail/a9ab0c650b1677f41HR_3t-1FVRZ.html?lid=57xrNnMEsHR.search.1&securityId=uZhN9WJPTEUuL-21E_b195h5dKYNzjgWPCBZIN_kFqPKQke71350046PiBMp2Ykyt4l8S-60E1Pq-VDSPfvbsnfoCqB2ej6h--gMS3juyjHN2ReU9MQ~&sessionId=,10-15K,经权,广州,1年以内,本科,数学/统计相关专业,未融资,0-20人,投资/融资,五险一金 加班补助 年终奖
数据挖掘（算法方向）,https://www.zhipin.com/job_detail/57737eec7001c3ea1X1y39y-ElRV.html?lid=57xrNnMEsHR.search.2&securityId=qWl2XDy3vIw5g-G1hxnFl21P-loyFvx86GnBl47v1H7ZBK-xBdgiCdo8tjpK_lNFrwV4arP_0V1vExoIXovZ_3Bc4ps6b0A3SrmJTc-eKAIoYg-9KA~~&sessionId=,15-25K·13薪,某500强上市公司,广州,经验不限,本科,C/C++ Python Java 计算机相关专业 机器学习经验 用户画像/标签体系相关经验 推荐算法,,,,五险一金 补充医疗保险 定期体检 年终奖 带薪年假 员工旅游 餐补 包吃 节日福利 零食下午茶
数据挖掘,https://www.zhipin.com/job_detail/137d441971ccb4f01nRz2921GVVV.html?lid=57xrNnMEsHR.search.5&securityId=gtfartg7Gri6T-e1ru-t3Nv31TLYc9_pdlQrpN5lawoNgozIWL45vTJP9U8g3ECSRtNdx67F8COZdZWdh2zpKED6GVPkbrfgqO2gpWE2Q-E2qmmiEA~~&sessionId=,13-24K,小鹏汽车,广州,1-3年,本科,数据挖掘 数据分析 数据开发 Python Java,已上市,10000人以上,汽车生产,五险一金 补充医疗保险 定期体检 年终奖 股票期权 带薪年假 餐补 包吃 节日福利
数据标注,https://www.zhipin.com/job_detail/59b004173fd47cf81HR_3du-E1tS.html?lid=57xrNnMEsHR.search.6&securityId=lYPidhGngWX8h-W1tSbPdvlJKHNdaRygkBcGwp4lh-pX79-7Zz-DHMX4Q8Y-rY964HsTMDMcxuba-XyjnpnGEYVkuVb4I_pjOhwIeVTms5fIJA~~&sessionId=,15-25K,某500强上市公司,广州,经验不限,大专,全职工作 数据标注,,,,五险一金 补充医疗保险 定期体检 全勤奖 年终奖 带薪年假 免费班车 包吃 节日福利
数据挖掘工程师,https://www.zhipin.com/job_detail/968ed6f2c4e293211XNz2dS6FFZX.html?lid=57xrNnMEsHR.search.8&securityId=qXbELCDlaCom9-41WoVsJHzUGYi9rHkJRzbjnBDb8cIIYTS3M-Dx7Y6VMTsV8O39v_MIPve5XVvEthbaqbFpUma47r7Sypei5xkFYm5qJ7HreRfB5H6T&sessionId=,7-12K,宜通衡睿,广州,经验不限,大专,Python 机器学习经验 大数据处理经验,未融资,100-499人,通信/网络设备,生日福利 节日福利 餐补 带薪年假 年终奖 定期体检 意外险 补充医疗保险 五险一金
数据分析,https://www.zhipin.com/job_detail/010c7e9a2c1376361XNz0920FlRZ.html?lid=57xrNnMEsHR.search.9&securityId=nY6VELxBCANHb-Y1awhp-6mXIcRT2sDDkP2hCn-Cxi1DmB74PqIqi-bHQOUTv6UfdIuaFvwJf-aTXYxtsyzPzmi9QDVc3vxGFRsC2dimWiGFEbFj&sessionId=,7-12K,安络科技,广州,1-3年,大专,Python 数学/统计相关专业 数据分析/挖掘经验,B轮,100-499人,信息安全,五险一金 补充医疗保险 定期体检 全勤奖 年终奖 股票期权 带薪年假 员工旅游 餐补 交通补助 节日福利 生日福利 生育礼金 婚嫁礼金 活动经费 股权激励
数据分析,https://www.zhipin.com/job_detail/9d1078038da5a5651HR82tu4FlpV.html?lid=57xrNnMEsHR.search.12&securityId=V7Uh6pwgxWCSI-e18Yv-92mAEUlP6OnJXbNvd8heqHKcEPec_k11oMDFEWO8Jl2d4kE_wh-BSAe_UUjAM5rn-eGAqdJqUuub1lstdEhn_O0ScelED6E8u54Fjs-lXe1p3ZMQZoM5t11s5vyOKSrkoBs~&sessionId=,5-8K,粤时代文化传媒,广州,1-3年,大专,Python R SQL 数学/统计相关专业,未融资,20-99人,广播/影视,全勤奖 带薪年假 员工旅游 零食下午茶 团建聚餐 节日福利 生日福利
数据挖掘工程师,https://www.zhipin.com/job_detail/bca065cc994b7a571n182t61EVJZ.html?lid=57xrNnMEsHR.search.13&securityId=JoAlLwY7dpkRY-t11sY4evLXZIPiaJVpVVT2017nb9954dpDMLHFyAtV9YgMizGByZu7l1wm4qUJgc6poc4WrOlAZTmrBpEfBmZslLsDKYxh1OTsq2k~&sessionId=,20-21K,腾讯,广州,5-10年,本科,Python SQL 算法设计 TensorFlow,不需要融资,10000人以上,互联网,五险一金 补充医疗保险 定期体检 年终奖 股票期权 带薪年假 员工旅游 免费班车 餐补 交通补助 包吃 节日福利 住房补贴 零食下午茶 公仔周边活动 免费健身房 免费早晚餐
挖掘机大修厂服务维修,https://www.zhipin.com/job_detail/a97e35bb711d88f01XJ839y8GVFS.html?lid=57xrNnMEsHR.search.15&securityId=Lohg_G61nZ1TY-u167Mjlflfp5PFvNT-TASvjQxeVBtDmDcOWIlGx2jk_7n4bH8WyiM1ItxZ6DghrrVCzFZxzm15E70bVKyI1k1stqTlFoFMPeXnl035D5dg6uYPmdpuVyY5TTXhtyRALLl_aCeWez0~&sessionId=,7-10K,穗恒柳工,广州,3-5年,学历不限,精密仪器 维修中心维修/保养职位 上门维修/保养职位 机械工程专业 挖掘机，挖机，钩机 会开车 公司内部维修/保养职位 重型机械,不需要融资,100-499人,机械设备/机电/重工,节日福利 交通补助 带薪年假
数据开发（Python）,https://www.zhipin.com/job_detail/a8a1cfc337e0db011HR-29-4F1pT.html?lid=57xrNnMEsHR.search.16&securityId=F5hsjx6Ujfrs9-O1tO5GFGb3qrcfgKThhqkHZoJKZ6tfZ5UDn-X_z9jXbJtsOVKyI_0CIR57Kf6tAgXy0SspRbnLK2WkmTnn2PUJ5nIGR48YWlCuVMw~&sessionId=,11-22K,神州信息,广州,1-3年,大专,Spark Hive Python 计算机相关专业 大数据开发经验 数学/统计相关专业,已上市,10000人以上,计算机软件,交通补助 通讯补贴 餐补 带薪年假 股票期权 年终奖 定期体检 意外险 补充医疗保险 五险一金 朝九晚六
数据挖掘工程师(J12867),https://www.zhipin.com/job_detail/007eb346825e4ca81XN83965EVFS.html?lid=57xrNnMEsHR.search.19&securityId=HkLUezFGjfMA_-V1if9rhe-qX6N7SnLrvTfifJjKtOz6Uo5tRklL8Q-7fbdak35SRcwKSpOAjj4jD3agaLK7GagtmyVNYsGe0qOQKXxQcFz4ZRI~&sessionId=,20-30K,浩鲸科技,广州,5-10年,本科,Python 机器学习经验 自然语言处理经验 用户画像/标签体系相关经验 机器学习 模型训练 数据挖掘,未融资,10000人以上,通信/网络设备,五险一金 补充医疗保险 定期体检 年终奖 股票期权 带薪年假 员工旅游 免费班车 餐补 通讯补贴 交通补助 节日福利 零食下午茶
大数据,https://www.zhipin.com/job_detail/b5c0bd9b82e86e021XV52dS4FlNR.html?lid=57xrNnMEsHR.search.20&securityId=2zlO7bYa2uISl-t1b3bfWBXO86zBrY8c1MGjghiB8gsRs-A4Ti0_vz3zDX4WKkrQJ3V99ztDgQhaozJQ28_hMjmCIHqDVy3myaWLH5Vl9xf1uxaEbw~~&sessionId=,7-12K,广州新华互联网学校,广州,1-3年,大专,全职 私立学校 线下教育 坐班 大班教学（25人以上） 教育学专业背景 集体授课 学科带头人 线下授课 培训师 教研 兼职 高中教育,未融资,100-499人,院校,五险一金 定期体检 年终奖 带薪年假 员工旅游 免费班车 通讯补贴 包吃 节日福利
数据挖掘工程师（J10469）,https://www.zhipin.com/job_detail/c9d6d6943e7c733f1X182tu-GFtY.html?lid=57xrNnMEsHR.search.22&securityId=78sGTwwILJI9x-B1PYYKaI3AkuJxDd6vvKTRsozk2bp1Rog9pxjGEp0nF3s7KVerR4fgS3QR4cWjJXGVK97W_dWsQjywIig07j3unT7NXYTC9_lm8w~~&sessionId=,12-20K·14薪,新心数科,广州,3-5年,本科,Python R 大数据处理经验,B轮,500-999人,互联网金融,五险一金 定期体检 年终奖 股票期权 带薪年假 员工旅游 节日福利 零食下午茶
数据挖掘工程师,https://www.zhipin.com/job_detail/b2914f040c1758541XJ83Ni1FVBQ.html?lid=57xrNnMEsHR.search.23&securityId=dR1y-GZAYAzo2-O13IUway_gPG_L20vfKMwhUUAleu9-GzPJGN8Px-jzICT3MYMQ9V8uw_X_wdHQ7dx6oq8xiCWoadIMhitCoMXNufHpjbZnwc4q5lP9&sessionId=,10-15K,职教桥,广州,1-3年,本科,Python 自然语言处理 机器学习算法 聚类分析 Pandas 数据挖掘 方案制定,未融资,100-499人,互联网,五险一金 定期体检 年终奖 绩效奖金 工龄奖 带薪年假 员工旅游 餐补 零食下午茶 团建聚餐 节日福利 生日福利
数据挖掘算法工程师,https://www.zhipin.com/job_detail/fe16df0fbe17e04c1X1-2ti_EVZQ.html?lid=57xrNnMEsHR.search.25&securityId=2L7eqFXsfg3mx-W1cu7_SmrciWElS9j9URQCodpMNBJhKsJR0TrUso6s7eiWHNTFyI0bdcP4d6pNEbnrcZPYRZR5E0QfXd3V5Cot6-LhjYVm3g2h7b0b&sessionId=,15-30K,智库,广州,3-5年,本科,数据分析/挖掘经验,未融资,20-99人,计算机软件,五险一金 补充医疗保险 定期体检 加班补助 全勤奖 年终奖 带薪年假 员工旅游 餐补 通讯补贴 节日福利 零食下午茶
大数据,https://www.zhipin.com/job_detail/2baf3d4a945029fc1X1z39u-FlNZ.html?lid=57xrNnMEsHR.search.26&securityId=JbNbbFRY9LcAx-11KOvk5n1SA_Dk9eh2ABx7C_AfEuPNDwkN-jUOxDHNrKOxNZWWNSNlGE41GxXjhEiM_bWqYWaBIhAj5Q8zzjOvr1tZ3L8hBugH9A~~&sessionId=,8-13K,广州元生,广州,1-3年,大专,Java,A轮,100-499人,计算机服务,五险一金 加班补助 带薪年假 节日福利
高级数据挖掘工程师,https://www.zhipin.com/job_detail/c5269178f4e21fee1XFz2d-4EVBR.html?lid=57xrNnMEsHR.search.28&securityId=n6ouJbadpmx7r-116TLugTOUTXH9BxCbwbIXFiIMVbsZVovU5Ja-0NHeVgQVxLNRyrhrWklN1AGeSu2LaHJdeTnFzWGqvRbHZQlzJmnMcTu6A9Lc9Og~&sessionId=,15-25K,未来一手网络科技...,广州,1-3年,本科,物流行业数据相关经验 电商/零售行业数据相关经验,C轮,500-999人,电子商务,五险一金 定期体检 加班补助 年终奖 股票期权 带薪年假 员工旅游 餐补 节日福利 零食下午茶
数据挖掘,https://www.zhipin.com/job_detail/e7308055145ab4c21Xxz3tS1FVpR.html?lid=57xrNnMEsHR.search.29&securityId=4rud-4gR8rjI4-A1qMl48Ze7rwUJc9fZadzvj4INDa31YfvpDBCRkl4PfA7ET0VuFWMl_1FfAPYpy7yXC8JDOmCNwNZTBerJKl_dUDwlx12y9FkPvRc~&sessionId=,15-25K,广州爱思视力训练咨询,广州,1-3年,本科,Python MATLAB C/C++ 计算机相关专业 大数据处理经验 数学/统计相关专业,,20-99人,互联网,
云图策略（数据分析）,https://www.zhipin.com/job_detail/62f516cd7c5748f31HR42NW6ElJY.html?lid=57xrNnMEsHR.search.31&securityId=dItBSbkTpgHk--V1qlSMzsOcnfUPRVWbenTeJro9j_GhnO76LVBe8rhzakNFU6666cZ9cvJPr_6nPbWZiDUY4yaxMFxjAp_q3bX9DRCgLVCqvs5NrZg~&sessionId=,8-13K,麦捷广告传媒,广州,1-3年,大专,SQL Python 数学/统计相关专业 云图 数据分析,未融资,100-499人,媒体,生日福利 节日福利 团建聚餐 零食下午茶 带薪年假 全勤奖 年终奖 五险一金
数据挖掘,https://www.zhipin.com/job_detail/cde7164480055b961XV-2NS5ElVX.html?lid=57xrNnMEsHR.search.32&securityId=xu9sdIUOS3t6X-G1Rp1sQMgjupbtNB-gKZ1KFXyCyqzO1M9PV1qjLYvMrG4baLrn0Ytmdv7Tz5fa6H8lqZDjZVNIyNYHOjI7z8KVI3YltKt0nhGH&sessionId=,20-21K,钱大妈,广州,3-5年,硕士,算法设计,D轮及以上,1000-9999人,生活服务,五险一金 定期体检 全勤奖 年终奖 股票期权 带薪年假 员工旅游 节日福利 工作午餐
数据挖掘,https://www.zhipin.com/job_detail/1cdb1f206554d89e1X1909y9EVpR.html?lid=57xrNnMEsHR.search.37&securityId=CbA7HZBB-8yxn-g1tZzc8ix1B-xr_Osi8bEq7ifB6AND_4MR8NjAioqA129QUqCilZDZgH02gRo0tOglarjWHlOCc5javgZ7mhNCg6kJqa5VzhZVr4k~&sessionId=,8-11K,红木鱼,广州,1-3年,本科,R 数学/统计相关专业,不需要融资,0-20人,互联网,团建聚餐 带薪年假 五险一金
产品专家（数据挖掘）,https://www.zhipin.com/job_detail/52c7b6fb72537ef41X183dW8ElBT.html?lid=57xrNnMEsHR.search.38&securityId=wjv1F2Azd0PcG-n1Xdi8ex8Pts0u3DIger9M6krrwloeYjTugv2shyMF-Zu3fcbtRWXmMEwy7sgpX_4UXicTqYBa_dUfR38KBBm7H2djF4A1vJs~&sessionId=,25-45K,某知名银行公司,广州,3-5年,本科,C端产品 策略产品 大数据画像挖掘 增长策略 数据建模,,,,五险一金 补充医疗保险 定期体检 年终奖 带薪年假 员工旅游 节日福利 职业通道
ZNXT- 数据挖掘算法工程师,https://www.zhipin.com/job_detail/c695006be8d666561XN409m4E1dY.html?lid=57xrNnMEsHR.search.41&securityId=pveHM9z08lMTc--1OgzJ9evqv2V9pbjkl40P0zNl5TU4Skhyokq0yBWg6Rg1iqZ4TyRym1TOq8FRO-eDgjvT3du_Hsg60shl4n3a6hvMl0JmQMHBmw~~&sessionId=,25-35K·14薪,酷狗音乐,广州,3-5年,本科,大数据处理经验,已上市,1000-9999人,互联网,五险一金 补充医疗保险 定期体检 年终奖 股票期权 带薪年假 员工旅游 餐补 节日福利 零食下午茶
数据挖掘（机器/深度学习）(A79406),https://www.zhipin.com/job_detail/efdac7bad45d62301X153tq6FlNS.html?lid=57xrNnMEsHR.search.43&securityId=GSwSc9T10GS2P-Z1gclWfm5dpgKz_LEsgRFD4bXyY3wRHbtHw0Hb6Z8ZjIuXg3ASmMlJ65ZjoRJT11YJPuzCowrViJqCfR171qYF-JHh9gndCQk~&sessionId=,20-35K,广州骏伯网络,广州,5-10年,本科,智能营销/广告 Python Hadoop/Hive/Spark 计算机相关专业 机器学习算法/工程化经验 深度学习经验,未融资,100-499人,互联网,节日福利 通讯补贴 免费班车 免费工装 团建聚餐 零食下午茶 餐补 员工旅游 带薪年假 夜班补助 底薪加提成 绩效奖金 年终奖 五险一金 周末双休
数据分析助理,https://www.zhipin.com/job_detail/d43256f2e2e690d21XF63t-0EFBU.html?lid=57xrNnMEsHR.search.44&securityId=7m0uomP1cFZzc-Z1JJzS7S9vwOH5e8juwC4zc1-ZElIW6wM0OEyJdK9d0wki6k1xnXjAYV3acIMqqyp6s1tH5vlrs__zDeVtetv2pQPJ9ZBIV0JCg836&sessionId=,4-7K,广州市微咨精博公司,广州,1年以内,大专,数学/统计相关专业 数据分析/挖掘经验,未融资,20-99人,其他服务业,
数据挖掘工程师,https://www.zhipin.com/job_detail/be728aef60af28861X1z2t64EVpY.html?lid=57xrNnMEsHR.search.47&securityId=tcfq6sc4a1AHX-g1UyULDN3Ujbat5Lkp9AbTfWZ5b2ICF2Zh2ONIdZzZOGibbycjHGqsLca0KDA8Tzyrpqu7XD2x09jTQBYuMUJrpIq_YZVRBxK-IhM~&sessionId=,20-30K·16薪,网易游戏,广州,3-5年,本科,搜索/推荐 智能营销/广告 Python Hadoop/Hive/Spark,已上市,10000人以上,游戏,五险一金 补充医疗保险 定期体检 年终奖 股票期权 带薪年假 员工旅游 免费班车 餐补 交通补助 包吃 节日福利
数据挖掘工程师,https://www.zhipin.com/job_detail/70599ad5b34786671nJ42tq9FVZS.html?lid=57xrNnMEsHR.search.50&securityId=SdoNaXYXk3xQh-g1r4VsQK6ZnegQIaqoa9OPk9UWMac4GWfg7_zK6sm8lFqt-UiLntV5M1Wivdfh8OEWkdfXI_95KKDepWQY8m8qVcGfafKIi5sHHbFT&sessionId=,7-9K·13薪,广东网商互联,广州,经验不限,本科,Python Shell 深度学习算法 推荐算法 机器学习算法 Spark Hadoop Storm,不需要融资,20-99人,互联网,五险一金 年终奖 带薪年假 季度奖金
数据分析,https://www.zhipin.com/job_detail/dfd509d250d318951HR_2ty-FVNV.html?lid=57xrNnMEsHR.search.52&securityId=rwFXekFLfvb6z-W1ffBvwgyW4_YsFDKVbi7StqITSYGlYS5ARoc1aht5SNrgFJoBE58jkxoT1kh3UCpmAg4h5poZqrQr_SM0eV_fddH9kNS0wVIe7A~~&sessionId=,8-12K,易工品,广州,1-3年,大专,业务数据分析 营销活动效果分析 竞品分析 数据分析/商业分析经验 SQL Tableau/Power BI,未融资,500-999人,电子商务,节日福利 通讯补贴 零食下午茶 员工旅游 带薪年假 加班补助 股票期权 年终奖 五险一金 周末双休
游戏数据分析师,https://www.zhipin.com/job_detail/eb1d0dcb600a44a71X183Ny1FVVX.html?lid=57xrNnMEsHR.search.53&securityId=bhuC4qCCPl-Pc-G1Ns01Hae0OGN4kOcpumZX2fu9n0sK2UXxCec8x92GbhYEg1-TvYs3CqgNcdKgzHvubneElE9mrVIUoo0fS50AEaVcfr1_NFvbUW2o3LulEWV5itHPwtp0LZM9oTKEERhtQRa7&sessionId=,20-40K,某知名互联网公司,广州,经验不限,本科,SQL Python R 数学/统计相关专业 计算机相关专业 数据分析/挖掘经验 数据分析 数据挖掘,,,,五险一金 补充医疗保险 定期体检 年终奖 股票期权 带薪年假 员工旅游 免费班车 餐补 交通补助 包吃 节日福利
数据挖掘,https://www.zhipin.com/job_detail/172760d6ee954ea91nV_0ty5FVRR.html?lid=57xrNnMEsHR.search.56&securityId=BCjgDKa9IgVKA-p1_x2Vtlk98Qprb9gwAov9krRY4MXfqB2EqrmZ2sTzF-eYqTtRxrTxS9rTSZv0NiC0gkRVmBM5psvg8U-O_7QhDEh_3DUAym0uNw~~&sessionId=,20-40K,小包公,广州,3-5年,本科,数据分析 Python SQL Flink 大数据 数据建模 机器学习,A轮,20-99人,法律,五险一金 年终奖 股票期权 带薪年假 员工旅游 节日福利 零食下午茶
数据标注工程师,https://www.zhipin.com/job_detail/52eebb3f74ade8291XN72d2_E1JW.html?lid=57xrNnMEsHR.search.58&securityId=5zXE8fgWVDTY2-31nNvIbN7pM9wrjNOg9-6WjBExWxlF8z7oTM-_GZiT6DYvTllfq_a4nC522DT3mYqwpsGujxx2rKSjkXY4VvsITJ5xs4NTCnP9CA~~&sessionId=,15-30K·16薪,广州汽车集团股份...,广州,3-5年,本科,全职工作 标注方法优化 标注数据分析 数据标注 图片标注 视频标注 数据分析能力强,不需要融资,1000-9999人,汽车生产,五险一金 补充医疗保险 定期体检 全勤奖 年终奖 带薪年假 员工旅游 免费班车 餐补 通讯补贴 交通补助 节日福利 住房补贴 生日福利 免费工装 法定节假日三薪 企业年金 绩效奖金
数据分析工程师（驻场）,https://www.zhipin.com/job_detail/94ee2e03723e9c7e1X1-29q0E1tR.html?lid=57xrNnMEsHR.search.59&securityId=4qBG8gWJPGMVw-01LziIyyThIdrPBnLEg5nRLqKSDeYtZJ_S32wise2QTG8dBZzvqGz1wpRJkEzTopw1GDbNQ-5n-8nW996UH4POd1JJmYCYNmQ-&sessionId=,12-14K,彩讯股份,广州,3-5年,大专,SQL Hive 数据分析/挖掘经验 资产域 电力营销 正则表达式,已上市,1000-9999人,互联网,五险一金 定期体检 股票期权 带薪年假 节日福利 零食下午茶 生子礼金 结婚礼金 加班调休
专利挖掘布局研究岗,https://www.zhipin.com/job_detail/958a9295bd6d71d01XF63Nu6GFJR.html?lid=57xrNnMEsHR.search.62&securityId=5jm2gx6SApElQ-w1cvQPU6xyj7L3xtWY5gLB6pSVtHdmhhHz3QaAOm4uZRvrYNu2-VZlXwiO6pTkmUDPMfCNEjzpR0Wujj542UOMdXfPm5wwb8VtQywV&sessionId=,15-20K,中汽信息科技,广州,1-3年,本科,专利局工作经验 知识产权工程师 专利代理人 知识产权局工作经验 知识产权代理人 国内事务 知识产权经济师 无销售性质,,100-499人,计算机软件,五险一金 补充医疗保险 定期体检 年终奖 带薪年假 餐补 节日福利 高温假 采暖补贴 高温补贴 补充公积金 企业年金
数据挖掘算法专家,https://www.zhipin.com/job_detail/a77658e3d6b9bb141HR-29i5F1RR.html?lid=57xrNnMEsHR.search.63&securityId=QF7f-GxOIsiza-I1M5ydCRUXC5I1xhAAkiO_NqDwO7VWLCFyTpOYAeqa1ly20l0W03KeSaLxUG0Z3VedxbcjqIR384AxZtnXYJ4FsFPePr2PI-oV&sessionId=,60-90K·15薪,某大型移动互联网上市公司,广州,5-10年,本科,剪辑 特效 渲染,,,,
数据分析师,https://www.zhipin.com/job_detail/6b473088a8d04ae41nVy39-5F1FR.html?lid=57xrNnMEsHR.search.68&securityId=FJ_c0t9pPiGvh-D1b6bXq3SVcnyfzq0AMDNJWqLZj8mfDKfmxQ3mV-Gs0Eiwk6DXUkE5hx_eOCa-RPTc1e5gYqPFkUwR1ID45E4q-lc_V5bCQZe_Kw~~&sessionId=,5-8K,爱莲化妆品,广州,1-3年,大专,Excel SPSS Python SQL,天使轮,20-99人,电子商务,餐补 通讯补贴 包吃 节日福利 保底工资 绩效奖金
资深数据挖掘工程师,https://www.zhipin.com/job_detail/f4cd8f341af690011XJ42t-6FlFS.html?lid=57xrNnMEsHR.search.69&securityId=5WgyHu0aGOdiC-D18dwu62E_U2j1f-dKhDBJnWUGt4Eedjlt85V9iMP-zQZwrd7TgVoUkwhAqIQB5ad_pv67CrPDKjSA1gGnl43c8HR9NDKCV_Y~&sessionId=,20-35K,同盾科技,广州,3-5年,本科,营销建模 信贷风控,D轮及以上,1000-9999人,互联网,五险一金 补充医疗保险 定期体检 加班补助 年终奖 股票期权 带薪年假 节日福利
大数据处理ETL工程师,https://www.zhipin.com/job_detail/e7c1e6dfaf06d5701HR43dS9ElJS.html?lid=57xrNnMEsHR.search.71&securityId=lU-q1l5pCD7V8-x1m9yUk91VnaEi1NmFSPF1u-6uG4SHXifGj2e3UyBHsDVkt4KHdqzrZJNoR7HXrh9JO0X0EWyAQEZWGjQ2GKcQHXZkaBDNiFRfGVA~&sessionId=,20-30K,安徽云外勤,广州,5-10年,大专,ETL开发经验 Spark Flink,A轮,1000-9999人,互联网,生日福利 节日福利 免费班车 团建聚餐 包吃 员工旅游 带薪年假 工龄奖 节假日加班费 夜班补助 加班补助 企业年金 底薪加提成 绩效奖金 五险一金
数据分析师,https://www.zhipin.com/job_detail/2474a6ad82c83b6f1HR53tu7F1BY.html?lid=57xrNnMEsHR.search.72&securityId=xOrIBCzCwYfpm-P1UBzdSm-26cF_AZd5IwRPKY_FkLYL-IGrmKCpq-uQ7NFKuGXUxhr4UyhaYYdaUDAf_TH0kkE7tpDKwLqmBv-nRi2_9EYu8840IFGZ&sessionId=,4-9K,广州市唯喜皮具,广州,1-3年,大专,数据分析/挖掘经验 电商/零售行业数据相关经验 数学/统计相关专业 美术 时尚,不需要融资,20-99人,电子商务,五险 团建聚餐 零食下午茶 全勤奖 底薪加提成 保底工资 绩效奖金 年终奖
数据分析,https://www.zhipin.com/job_detail/8e573592eacc34cc1Xx_2927GFJT.html?lid=57xrNnMEsHR.search.75&securityId=IXsQJE_qHvcV1-S1nfIEgeFkjPF1LhHD5xSHRC7-IK8ixBNdg5St-j3XVi61Vc016IY7gQr-bKz0fHt-o9gLF7XoJMp72p9_iFb9Fp8fiuugIsVhdKY~&sessionId=,10-11K,智颖科技,广州,3-5年,大专,Excel,,0-20人,互联网,员工旅游 带薪年假 全勤奖 工龄奖 法定节假日三薪 节假日加班费 保底工资 绩效奖金 年终奖 定期体检 意外险 补充医疗保险 五险一金
数据产品经理,https://www.zhipin.com/job_detail/5e8a8d94a074a4ba1HR639-9GFtQ.html?lid=57xrNnMEsHR.search.78&securityId=ZgCnFI0YJnddG-F16BxoHr4I5Hv9lK7JWIoBlmn4qRMlg1smGI3929lr5FWNDrOvn0iL0huf3yIRoak1wVD-YtVYIF86Hg_U6It9zfFtql4lxHKOrrw~&sessionId=,10-15K,广州游乐学,广州,3-5年,大专,后台产品 产品设计 产品运营 C端产品 B端产品 数据分析 TO C TO B,不需要融资,20-99人,互联网,五险一金 加班补助 年终奖 带薪年假 员工旅游 节日福利 零食下午茶
数据运营,https://www.zhipin.com/job_detail/e5694ac690c596a51Xx92tu-FFNS.html?lid=57xrNnMEsHR.search.81&securityId=jJ4xu2hDdu0iG-x1LH-jyhYT_WxRU_yqDVDjDrKqzuRNx4zaXwCuiJ1YfOjGaDpDQJgbsSLxo5dRae9LhNCbepO6ND-hNx_j3GumnnYdIG4obO7YXpcX&sessionId=,8-12K,明智出行,广州,1-3年,大专,业务数据分析 业务模式/运营策略优化 用户深度研究 数据分析/商业分析经验,未融资,20-99人,生活服务,团建聚餐 零食下午茶 带薪年假 全勤奖 法定节假日三薪 绩效奖金 五险一金
大数据产品经理,https://www.zhipin.com/job_detail/30a38e1fe148d40a1HR53ti8FFNQ.html?lid=57xrNnMEsHR.search.82&securityId=AgamlCxRPsQlR-W1mLgO08oOg1runwDJ4dYwMj2R3lJkhEzIkkJ3Gk8YLQnGR04yZ6H3KERO-JUFYWRhnx6OgtzE_skfK_DJOMAJW59tPb7m11OPPPk7&sessionId=,18-25K,上海瑞应人才科技,广州,3-5年,本科,大数据产品 市场调研 需求分析 产品设计 数据分析 Axure B端产品 TO B,,500-999人,计算机软件,
数据分析师,https://www.zhipin.com/job_detail/46025d6671c0e5601Hx509q8GFM~.html?lid=57xrNnMEsHR.search.85&securityId=-rPpNsfpXiDCq-11pvyV8JWrEUIBaX2u7aTrxbWrXbors3ndq33IC33JSxvv4HukMv06PUdqRFV7b_fztCrSkmLDtjztZu9SBLaqndl8iQsDSmfT&sessionId=,7-12K,影子数据,广州,3-5年,大专,数据分析 tableau 数据挖掘,未融资,20-99人,数据服务,五险一金 全勤奖 年终奖 带薪年假 员工旅游 餐补 通讯补贴 交通补助 节日福利 住房补贴
数据安全咨询,https://www.zhipin.com/job_detail/35929a66a67fe8931XF70t66FVdZ.html?lid=57xrNnMEsHR.search.86&securityId=WYYvrNbpv4HQu-P1aJMpedTvWIGzP1Wgh3km8kNyDv4fEOx1x0-5n5wtmg2xXog4BVQj-fFvCq3IGugOJ9qndMcWqVINlE9rMfIrKKWcplmQgs8~&sessionId=,20-30K,某大型互联网公司,广州,经验不限,大专,数据安全 咨询,,,,交通补助 生日福利 节日福利 通讯补贴 免费班车 团建聚餐 餐补 带薪年假 加班补助 股票期权 绩效奖金 年终奖 定期体检 补充医疗保险 五险一金 定期体检
数据建模工程师,https://www.zhipin.com/job_detail/800947cb5b071b251X1z39-8FVpV.html?lid=57xrNnMEsHR.search.87&securityId=Mk0rEzYWQx_yX-G1JO7dQlSgvjBXqR5UTnfhgU3yLOAAluE8MJzGYjP_rz4ngTjz1RoE7_OAKGC0zIPCqyQcsT0IfeR4IrxkToeIJd0uRarVpTxx9_k~&sessionId=,12-22K·18薪,联通(广东)产业互联网,广州,5-10年,本科,Flink Spark 数仓建设经验 hadoop,不需要融资,1000-9999人,移动互联网,补充医疗保险 定期体检 年终奖 带薪年假 免费班车 餐补 通讯补贴 交通补助 包吃 节日福利 住房补贴 零食下午茶 七险二金
