岗位名称,岗位详情地址,薪资,公司名称,工作地点,经验要求,学历要求,岗位描述,公司融资情况,公司人数,公司行业,福利待遇
数据工程师,https://www.zhipin.com/job_detail/ce83772c0c8f69551nJ53928GVZV.html?lid=57ut4iy7EUS.search.235&securityId=dy17I6BQFflKq-C1v7UjjbfAfVuybEeXPH_-f_iSoaYoj9A9FOQNHWPUHO8Nf3t_mav8QPFH927ueo5bm2lMb7ZFm0gj6XvgER7SZwMIDB3Fa7wbiA~~&sessionId=,9-13K,FOODCHEM,上海,经验不限,本科,Python Kettle Informatica Pandas SSIS Informatic 数据库,未融资,100-499人,贸易/进出口,五险一金 补充医疗保险 定期体检 加班补助 年终奖 带薪年假 员工旅游 餐补 节日福利
数据科学组负责人,https://www.zhipin.com/job_detail/bc6fd7d794f82ccf1XN639u6E1NR.html?lid=57ut4iy7EUS.search.236&securityId=artVD516RM1W_-x1UaJ27VsgBLlEcExmqFKAnUuDDOAPzwLqLTkLM9VXOZ27IvMO2qULteGA9x-WHwnXhBjr0u-nozecyZg1CG2fCWL8LYa0NNzS&sessionId=,80-100K·16薪,某知名互联网金融上市公司,上海,经验不限,硕士,数据挖掘 数据分析BI 经营分析,,,,
数据分析,https://www.zhipin.com/job_detail/3eef9774df7d81851X1y2ty7EFtS.html?lid=57ut4iy7EUS.search.239&securityId=12N5yOSW2jWVm-N1sJXD0rFX2Jj7K4bp4PMUAOXW_f27gudV8hP4peL9c5yKUpkVw8LhFR0olndDOQBueYmABRJQpaJL8elTFuNnpBwdOgg7ISevKzAh_UoBlHyLaQxhzk5C28IDx4bhFo__5VJh0BE~&sessionId=,15-25K,嘉兴九州文化传媒,上海,1-3年,本科,SQL Python Hive 数学/统计相关专业 计算机相关专业 数据分析/挖掘经验,A轮,500-999人,媒体,生日福利 零食下午茶 带薪年假 法定节假日三薪 节假日加班费 加班补助 股票期权 底薪加提成 保底工资 年终奖 五险一金
数据科学家,https://www.zhipin.com/job_detail/fa3ed380ef0612981Xd43di-EVpZ.html?lid=57ut4iy7EUS.search.240&securityId=Jhq46Z3IVtvS4-A14cUB-aKAmRGnWkJacl0E4rocVGFion54SA45P4GY4nEOMigHJlBSZbDlK_jfOeDG97uad6puD7oLA9OQgGFxzjkvebdSaPskUg~~&sessionId=,25-40K,上海冰鉴,上海,3-5年,本科,Python R 机器学习算法 风控 信贷,C轮,100-499人,互联网,五险一金 补充医疗保险 定期体检 加班补助 年终奖 股票期权 带薪年假 餐补 节日福利
数据分析师,https://www.zhipin.com/job_detail/ff0b23047cb480091HR_09u6F1NU.html?lid=57ut4iy7EUS.search.241&securityId=EQSSCMyLIelf0-4140r6k9UH5SkR88JP7nH_cLlmMxKuy32W_ypDvUGCerwg6MPXtJONVHMmm5pkuS4s7zjeHv9aB4zA88mBCMyHnvjFVY41vhdHCtI~&sessionId=,15-25K·14薪,物泊科技,上海,1-3年,本科,SQL Python,未融资,500-999人,交通/运输,五险一金 定期体检 年终奖 带薪年假 餐补 节日福利
数据分析员,https://www.zhipin.com/job_detail/99273729ae819d8f1X1729-7FVJT.html?lid=57ut4iy7EUS.search.244&securityId=Csysgc-hw3qa_-l1WgzhxBeq3SRfsa5rb0M4Ykddv0qILa2mqjxqZZPA1QCCixVPv4FVtbVAO_MPXwzOAS_nn5QNM6jd2IFwzfLY56_daiQYmHey&sessionId=,8-11K·13薪,零点有数,上海,经验不限,本科,SPSS,已上市,500-999人,数据服务,五险一金 年终奖 带薪年假 员工旅游 餐补 节日福利 周末双休
数据分析（增长）,https://www.zhipin.com/job_detail/9c68a7376da818051HR829u8GFBY.html?lid=57ut4iy7EUS.search.245&securityId=_pfEnm1kzpEdT-Q1BmO--NBwxy02OssfNVw0M7SmLw6EnH4SftbZ1l0lJ9sbxMc_8JUJ9Q5X5vW_FzQbz-Fd7V7qV6g-bF5xIAKfvlN6D7UTBI7hA_s~&sessionId=,20-40K·14薪,七猫,上海,3-5年,本科,SQL Python Tableau 数学/统计相关专业 计算机相关专业 数据分析/挖掘经验,B轮,500-999人,互联网,五险一金 补充医疗保险 定期体检 年终奖 股票期权 带薪年假 员工旅游 餐补 交通补助 包吃 节日福利 零食下午茶 高端办公硬件 俱乐部补贴
数据分析师,https://www.zhipin.com/job_detail/10aefe48a0e4a13a1Xd92dW6EVU~.html?lid=57ut4iy7EUS.search.246&securityId=fXzAbRKb9QiL5-V1V6esujHU60xTCoCz7EVZHeBEb6Coe9w2bXQhxdJC9BpBt7naW8Rjrzyrp5zS8sAnjruaCwfSrAW3x7GbFitpCNYjDZy6k-Bm&sessionId=,12-20K,美至科技,上海,1-3年,本科,数据分析 数据处理 数据挖掘 SQL Python 分布式技术 网络爬虫技术 商业智能,A轮,20-99人,互联网,五险一金 年终奖 带薪年假 餐补 交通补助 节日福利 零食下午茶
数据产品经理（券商）,https://www.zhipin.com/job_detail/490b1bb287b53ba61Xx63ti0EVdY.html?lid=57ut4iy7EUS.search.247&securityId=b7Lt4O8uxBEJB-B1QQNzX45ZDr27UAvcmzJQWxoaEYQ0S5s03yZq1Rba4TSfNd8-RVRSF_PP9vwxVG4iU2Sip-n2lJR4JDJ9UWGDhiZ4rDJyZnU2IQ~~&sessionId=,15-25K·18薪,某大型金融集团公司,上海,3-5年,本科,产品设计 大数据产品 TO B,,,,
数据负责人,https://www.zhipin.com/job_detail/06296f81e0b0d8511HR43t60ElJR.html?lid=57ut4iy7EUS.search.250&securityId=xBKJf8feWnstJ-r1Rs7WyL0sjr8-lwC3689SFD5htIE3Hxf7qzUiCWv3tYDDUUYSRo79wb7Oy9tH2kVxUpA3tBhqIYqUD41vJw35ZBt_lvcuWUs~&sessionId=,70-80K·17薪,某大型知名保险上市公司,上海,10年以上,本科,大数据开发经验 大数据架构,,,,五险一金 补充医疗保险 定期体检 全勤奖 年终奖 带薪年假 员工旅游 节日福利 零食下午茶
