岗位名称,岗位详情地址,薪资,公司名称,工作地点,经验要求,学历要求,岗位描述,公司融资情况,公司人数,公司行业,福利待遇
数据分析师,https://www.zhipin.com/job_detail/6a80b7d9d38ff4201nF73t-4FlFZ.html?lid=584LjSKRAgW.search.247&securityId=jWNDmP0vtoCbO-f1uNt_mE1F1C3ybAVbxBkSWR-65hb6ZfCiE6oYX6GzqDOFjg4h0rS39RHWNEwPWCMlENQZTa1vnq3ONHygY2HSAkzLZJLZjFIixJg~&sessionId=,8-12K,醇享电子商务,广州,1-3年,本科,Python Excel SPSS Tableau Hive Spark R 多元统计分析,A轮,20-99人,食品/饮料/烟酒,五险一金 定期体检 加班补助 全勤奖 年终奖 股票期权 带薪年假 员工旅游 通讯补贴 节日福利 零食下午茶
BA数据分析,https://www.zhipin.com/job_detail/6938f572277afce51Xx80968ElVQ.html?lid=584LjSKRAgW.search.248&securityId=v1B43kmlokb8j-o1j85_HEGKIjpq_-D1Ir0GKiN4XZcqBJzzZjDt6jy9gcS2bylk_d7v8EWHwG4zeuw7pmiXehi5C46e_7vpujzQ-RadQqAJmXb8CMU~&sessionId=,15-30K,采华餐饮,广州,5-10年,本科,数据分析/挖掘经验 电商/零售行业数据相关经验 CDA CMA CFA,已上市,500-999人,餐饮,五险一金 带薪年假 节日福利
数据分析师,https://www.zhipin.com/job_detail/49deb3335253ef391nx42Nq5ElJY.html?lid=584LjSKRAgW.search.249&securityId=qwHmPRzoE7jfE-01FJrr8hB4g4r2dFcMI6bdyJ20HHmT9iviNutvoQyaeI0HvjBamobJ_pVYKvYYbDT9pCSmO510e8158PoU3DVKINA51QpLvb2mOtM~&sessionId=,10-15K,芳禾数据,广州,3-5年,本科,机器学习建模经验 数据分析/挖掘经验 数据建模 数据挖掘 数学/统计相关专业 Python SQL,A轮,20-99人,数据服务,生日福利 节日福利 团建聚餐 零食下午茶 带薪年假 保底工资 五险一金
数据分析师,https://www.zhipin.com/job_detail/4b277d3bebc5551d1n183d28FFJQ.html?lid=584LjSKRAgW.search.250&securityId=2jKD9na6LkRUQ-G1vdJWlPLCUMTuHDWhG9e0fm6_T1jKXpehtsspuA1mvr92cwzGaZATqYobMddaKq7Qr2-l5LQf-Rwrw_hjFGFdF2M0fWSWyCIKCg~~&sessionId=,12-20K·13薪,中顺网络,广州,1-3年,本科,数据分析师 游戏数据分析 统计学 数据运营 互联网,未融资,100-499人,游戏,五险一金 全勤奖 年终奖 带薪年假 餐补 节日福利 团建
数据分析师,https://www.zhipin.com/job_detail/ea44e6334f148b0e1HR63Ni5EFNZ.html?lid=584LjSKRAgW.search.251&securityId=c2kz09yHXAoC2-e1IWABWVfroabbG1c0Sdk2HbOYl7p8l6Ym-bp1HvtmyPCjYF_jma6yakdIjvP6z8-TvEHgtOG3DgwP_iYhnHRT7-TgDS-26Q8X5Hqp&sessionId=,12-20K·13薪,灵镜科技,广州,3-5年,本科,SQL Python R 数学/统计相关专业 数据分析/挖掘经验,未融资,20-99人,游戏,定期体检 五险一金
数据分析师,https://www.zhipin.com/job_detail/c8c0ca7694fa3e011nx93925FVFR.html?lid=584LjSKRAgW.search.252&securityId=genSThFTcRNsj-u1OLvtM38_SDcpwSGTv4PU88WDpQa89GOMUQhWxzi4PWchoNsH66JbsG63pbHEB4CEVzzMDLjqQf2a0JM3Eno3uJbUXeeFGYvIZQ~~&sessionId=,11-20K,六一教育,广州,1-3年,本科,SQL Hadoop Hbase Kafka Tableau ECharts Pandas Power BI,B轮,1000-9999人,在线教育,定期体检 带薪年假 餐补 通讯补贴 交通补助
数据分析师,https://www.zhipin.com/job_detail/40f8902989c018911Xx-3t65EldW.html?lid=584LjSKRAgW.search.253&securityId=-T2t-inlJCDpa-u1O3HYr9XXQxNa_FY-1os8Npd4tV6OXBZE-DdQovV6_Ns7CuG8AaOCBWU41ELuDVM-SN90XQCgqVrLZn3xb0TG60Dw9xxTq8ZQRzfX6liR-XmuA1MXstIauSB4hc5Z9sYbgkT4GUw~&sessionId=,10-15K,虹邑,广州,1-3年,本科,SQL Python 数据分析/挖掘经验,未融资,20-99人,计算机软件,五险一金 加班补助 年终奖 带薪年假 员工旅游 节日福利 零食下午茶
数据分析师,https://www.zhipin.com/job_detail/56bee15cbdbc1f8c1XN539i-E1tZ.html?lid=584LjSKRAgW.search.254&securityId=Og7nfz_HmhRr3-C1CAq5gy8UQIECtDKuie5ikWloCLJKtbNcu0R0Um8YcLUMM5r4eLnNtQxH0eYLnNrY2s5AePV37LVlbXAtip5YhxVIyjBssMeyR-cL&sessionId=,6-10K,广州知掘科技有限公司,广州,1年以内,本科,数学/统计相关专业 计算机相关专业 数据分析/挖掘经验,,100-499人,数据服务,
海外数据分析,https://www.zhipin.com/job_detail/b3c46ff6c50966371X1-3N--EFdZ.html?lid=584LjSKRAgW.search.255&securityId=OcRU7I1YhHMjY-n1r1jCXY9-CpyOFqktej6RprOi3dfF3kbKX6iGEw5CAQaJF2uZu3KcrWcTsqe6nlJ2gNV0p9xvL4xcnouEhDn32M1omyXR0aObrpo~&sessionId=,15-25K·13薪,益世界,广州,3-5年,本科,数据分析 海外 游戏,不需要融资,500-999人,游戏,五险一金 定期体检 全勤奖 年终奖 带薪年假 员工旅游 餐补 包吃 节日福利 零食下午茶
数据分析师,https://www.zhipin.com/job_detail/4eb06fcaef08779f1XR_3du7GVZZ.html?lid=584LjSKRAgW.search.256&securityId=LKytv2uOc1Unb-11h23bnkRp20AmHm37V3X2B_12wuUowL4SoOQsPHgwv_uO6q1LSqKpG34BAxBbu54OJJbWXV9FAfIqZWjogwOUtwAjqMmJ6GUJkQ~~&sessionId=,15-25K,广州光束,广州,1-3年,本科,Python 回归分析 多元统计分析 相关分析 聚类分析,天使轮,20-99人,电子/半导体/集成电路,五险一金 年终奖 股票期权 带薪年假 员工旅游 餐补 节日福利 零食下午茶
数据分析师,https://www.zhipin.com/job_detail/79202bbc366ab88a1nF_3Nq0FlpV.html?lid=584LjSKRAgW.search.257&securityId=KimV5EUlEXkp8-l1DCFcDybESWFVCaHc_2Owv6wIMTsunJq2CFTwvV4bqW2F7vGbprLl8ocEMqiPkbqE_dGoMM0y9x_SlWkJoSR3XpBQe0IVCE4~&sessionId=,11-18K,丹霄技术,广州,3-5年,本科,Python Excel SQL SPSS R 方差分析 回归分析 描述统计,未融资,100-499人,智能硬件,团建聚餐 定期体检 五险一金
数据分析管理,https://www.zhipin.com/job_detail/6221502392b6e6cd1XJ509i0FlZZ.html?lid=584LjSKRAgW.search.258&securityId=3MTTFQJJlCnzS-c1XLSwdWEfMAzHSInNVoTYAE1MnnPg2RmuPgwQNTXtHI1zQNfruHwcAFYY1cV42MU1rs7pN-n-5KBlLCXbcRAEn65TO_N3&sessionId=,60-90K·16薪,网易,广州,5-10年,本科,数据分析/挖掘经验 文娱/游戏行业数据相关经验 电商/零售行业数据相关经验 数据分析管理 数据分析经理,已上市,10000人以上,移动互联网,五险一金 补充医疗保险 定期体检 全勤奖 年终奖 带薪年假 免费班车 包吃 节日福利
高级数据分析师,https://www.zhipin.com/job_detail/21dce97fce6369421XNz29-6EVNV.html?lid=584LjSKRAgW.search.259&securityId=fW2SlIsBeZDpb-B1eg1-syQT1Ig10KjnnhDZ_vTXHrimwpq-1l2IAW8tryB_D9Iq_CzC8fGXH8STnpGcvq5SIRwlP-3uu83A2hHECtrhnpt4ODSAkU4~&sessionId=,18-22K,未来一手网络科技...,广州,3-5年,本科,SQL,C轮,500-999人,电子商务,五险一金 定期体检 加班补助 年终奖 股票期权 带薪年假 员工旅游 餐补 节日福利 零食下午茶
数据分析师,https://www.zhipin.com/job_detail/1b2640df5f317e3e1X182N-1GVZU.html?lid=584LjSKRAgW.search.260&securityId=oLB2U53ZU29ry-91GPSrsYT2eyJTgCG6-AK55fUggkT7H1d5pAwwhTWynwrxeNdBaYTv1Iznng83w7xzu3xo00HIyKzElwjmsG1v0Bi3oorJSwWzuRU~&sessionId=,4-7K,数源科技,广州,1-3年,本科,数据工程师 数据分析,,20-99人,计算机软件,
数据分析师,https://www.zhipin.com/job_detail/cfc4d3f15f77a2b11nx839-6F1pY.html?lid=584LjSKRAgW.search.261&securityId=O4ktBo4OoRr8C-G1xJjh-oD9zhDj7Rps61I-zQ9-5Eqc8azpPZM-P26RykmPpUXdULaTkoFQkPjauiZQD14L5DvujB-jLT6p2xNJRSNnLl21noMfIkfA&sessionId=,12-15K,众连,广州,3-5年,本科,多元统计分析 参数检验 方差分析 Java SQL,,20-99人,数据服务,
数据分析师,https://www.zhipin.com/job_detail/f3dfe34c741523281HR63du_FFFY.html?lid=584LjSKRAgW.search.262&securityId=JLc7lN1JCOCvS-l1DDVFamWaOQ0nPx4peaG-GM_TnGjMqjUloFrayyOZsUThKBbYOJ2CPDH4ey3KVCvvua46OAF6bQ6HN9AphJ-1MYCYmnZ9rWzOX3A_&sessionId=,20-21K,某知名互联网电商平台,广州,5-10年,本科,电商/零售行业数据相关经验 金融行业数据相关经验,,,,
