requirment
：1、统计学、应用数学、计算机等相关专业，全日制大专及以上学历；?2、熟练掌握多种统计和分析方法，熟练使用excel和python；?3、熟练使用MySql数据库，能够书写复杂的SQL语句及存储过程。?4、较强的数据敏感度，逻辑分析能力和文档写作能力；?5、有责任心，良好的沟通能力和组织管理能力以及心理承受能力，勇于接受挑战；?6、能接受出差(有补贴，正常双休)可接受应届生实习。
1.熟练使用excel（vlookup、countifs、if等函数）、PPT等办公软件；2.具备独立分析报告输出能力；3.良好的团队管理协调意识，较强的分析问题、解决问题的能力；4.专科以上学历，有1年以上相关数据统计分析工作经验。5.有数据分析师证书优先考虑，待遇从优
】1、大专以上学历，英语四级以上，有亚马逊运营经验相关工作经验优先；2、能够熟练使用Office软件；具备较强的书面和口头表达能力；3、具备较强的数据统计能力，工作细致认真，责任心强，主动、细心、抗压；4、有较强的逻辑性、计划性、执行力，对工作进度定时反馈，能够独立完整的处理常规事务性工作。【公司福利】1、高薪有面子：车、房都不是梦；2、丰厚奖金：业绩突破奖（运营岗）、半年度激励奖（运营岗）、1-6个月年终奖；3、玩得开心：国内外带薪旅游、聚餐、下午茶、轰趴、年会、联谊等；4、假期福利：五险一金、法定节假日、福利假；5、晋升发展：培训丰富，各路大神齐聚带你飞，一年1-2次晋升；6、发展前景：白帽打法照样将产品打爆；年营收“亿”倍增，潜力十足；7、工作环境：超Nice的工作环境和氛围；老板为原世界500强上市公司亚太区总裁，多金帅气博才多学乐于分享；8、休息时间：朝九晚六，1-9月周末双休，10-12月大小周。
1、本科及以上学历，数学、统计学、计算机等相关专业；2、一年以上数据分析工作经验，独立编写过完整的数据分析报告；3、熟练使用SQL、Python、Linux，能独立完成数据挖掘及分析等工作；4、具备良好的沟通能力、团队协作精神和积极主动的服务意识，能承受较大的工作压力；5、具有较强的自主学习能力，高度责任心和职业精神，有一定的技术文档撰写能力；6、思想政治觉悟高，党员优先。
】1、一年以上数据运营经验；2、熟练使用Excel图表、透视及函数等数据处理功能；有SQL、R、Python等任一能力优先；3、对数据有足够敏感度和耐心，具备良好的抗压力，踏实负责；4、能独立思考，具备良好的跨部门协调沟通能力，并能积极推动，高效执行；5、大专及以上学历；【你想要的我们都有】1、弹性的上班时间：10:00-11：00~18:00-19:00，午休12:30~14:00，每天工作6.5小时。国家法定节假日正常休息，工作生活两不误；2、缴纳五险，保障您的就业福利；3、工作一年以上享有3~7天带薪年假；4、超长春节带薪假期，让你安心与家人团聚；5、公司提供贴心的节日礼品，美味多姿的下午茶，工作之余还有丰富的团队活动（国外游、团队拓展、技能培训、部门聚餐……）；6、优秀的员工，我们提供创业平台；上进的员工，我们给予你晋升的平台，只要你有能力，任何岗位你都可以挑战！[关于粤时代]广东粤时代文化传媒有限公司（简称粤时代），总部设立在广州。经过多年的高速发展，粤时代旗下在深圳、中山、珠海、佛山、江门、惠州、湛江、增城、汕尾、汕头、长沙、北京、上海、扬州、厦门、成都、桂林等地区设立分机构，粤时代目前是华南地区实力抖音MCN机构，旗下拥有300名+网红达人，50000+平方实景直播基地，目前也是国内外品牌抖音指定运营商及抖音大众点评官方指定本地生活服务商，粤时代通过全渠道融合机构数千家优质供应链合作！?[主营业务]达人商务：抖音mcn运营孵化，明细网红达人品牌推广，短视频内容合作，直播供应链助力运营，媒体矩阵传播调用数据反哺内容等；品牌合作：品牌短视频直播代运营、创始人IP全案策划等；直播供应链：0-1完善供应链体系，供应链云仓业务合作等；本地生活：本地实体全案策划矩阵营销话题度冲榜，企业政府宣传片拍摄及线下活动策划等；【工作地址】广州市荔湾区西湾和苑二街5号柴宝里广场5楼物管中心（近地铁鹅掌坦站A出口或公交西湾和苑站）
岗位要求：1、本科及以上学历，数学、统计学、计算机等相关专业优先；2、熟练使用MySQL、Excel、Tableau等进行数据可视化；3、对数据敏感，具备良好的数据分析能力和素材甄选能力；4、积极主动，逻辑性强，善于与他人沟通，具有高度责任心，具备一定的抗压能力；5、保证每周5天的工作时间。
：1、专科及以上学历，统计学、数学、经管、电子商务、市场营销等专业优先考虑；1年或以上相关工作经验，优秀应届毕业生亦可考虑。2、熟悉电商数据后台，尤其是天猫生意参谋后台以及京东商智后台。3、了解电商运营逻辑，熟悉各项数据指标定义及运用。4、熟练使用office软件，尤其Excel及PPT，能独立进行简单的市场及竞品分析。福利待遇：1、5天7小时工作制，假期都按照国家规定来放，放假就是这么任性，心动吧！2、等薪的高标准五险，与实力匹配的年终奖，优越的薪酬回报，羡慕吧！3、公司的节日福利满满，例如元旦、五一、端午、中秋、国庆、春节……让你暖暖过节！4、公司的团队活动多多，每年都会有的户外拓展及团队活动，让你和伙伴们一齐去聚餐、去旅游，公司埋单！！5、每周固定体育运动日，对积极参与者，公司还有额外奖励，就怕你不来！！！
：1.大专以上学历；2.数据分析能力强，精通excel、透视表、IF(嵌套5个以上）、VBA、SQL、PQ等等；3..数学理科专业等优先、有服装品牌同岗位或相关工作经验优先；
：1、大专及以上学历，会计学、统计学、信息管理或相关专业；2、熟悉数据库管理，精通EXCEL的各项函数公式，有较强的逻辑思维能力，对数据敏感，对数据管理和统计分析有较深入了解，熟练使用Excel或SPSS或SAS进行统计分析；
】：1.本科及以上学历，计算机、数学、统计学相关专业优先；2.具有1年及以互联网数据应用、数字化营销领域相关工作经验优先。3.对数据敏感，较强的分析能力，能熟练使用python，熟练使用数据相关的包；4.良好的沟通能力和技巧，思路开阔，能快速准确应对解决问题；5.具有良好服务意识，高度责任感，能承担一定的工作压力；【核心重点】：1.本岗位属于集团公司的数据业务成长期的储备岗位以业务小组的形式进行日常作业，非螺丝钉岗位，需要联动各BU进行工作；2.有短期异地派遣的需求，base地为两广地区，不能接受的候选人慎选；3.核心业务相关属字节跳动旗下巨量云图关联业务数据使用输出。
